Control ID,Domain,Maturity,Requirement Summary,Applicability,Assessment Result,Evidence Reviewed,Finding Summary,Residual Risk,Remediation Notes,Owner,Target Date,Priority,Related Threats,Assurance Type,Implementation Assumptions,Notes
AAEF-DEL-03,Delegation and Authority,Required,Record delegation chains for high-impact actions.,Not Assessed,Not Assessed,,,,,,,High,T3; T8,Evidentiary,Delegation evidence is linked to action evidence.,
AAEF-DEL-04,Delegation and Authority,Recommended,Invalidate downstream delegations after upstream revocation.,Not Assessed,Not Assessed,,,,,,,High,T3; T9,Responsive,Downstream delegation dependencies are known and testable.,
AAEF-DEL-05,Delegation and Authority,Required,Preserve sufficient lineage metadata to reconstruct authority transfer for high-impact actions.,Not Assessed,Not Assessed,,,,,,,High,T3; T7; T8; T9,Evidentiary / Responsive,"Correlation IDs, trace IDs, or equivalent references are preserved.",
AAEF-AUZ-01,Action Authorization,Required,Authorize high-impact actions at the point of execution.,Not Assessed,Not Assessed,,,,,,,High,T5,Preventive,Tool dispatch enforces decisions and cannot be bypassed by model output.,
AAEF-AUZ-02,Action Authorization,Required,Check requested purpose and target resource against authority scope.,Not Assessed,Not Assessed,,,,,,,High,T3; T4; T5,Preventive,Purpose/resource inputs are trusted or policy-bound where feasible.,
AAEF-AUZ-03,Action Authorization,Required,Require approval or additional verification for high-risk actions.,Not Assessed,Not Assessed,,,,,,,High,T5; T8,Preventive / Governance,Approval UX and thresholds support meaningful review.,
AAEF-AUZ-04,Action Authorization,Required,"Deny when authority, principal, or purpose cannot be determined.",Not Assessed,Not Assessed,,,,,,,High,T2; T3; T5,Preventive,Missing authority or context is detected outside model self-assessment.,
AAEF-AUZ-05,Action Authorization,Required,Separate authorization decisions from untrusted natural-language content.,Not Assessed,Not Assessed,,,,,,,High,T4; T5,Preventive / Evidentiary,Trusted policy inputs and system state exist and are used.,
AAEF-AUZ-06,Action Authorization,Required,Evaluate intent-authority alignment without relying solely on model self-assessment.,Not Assessed,Not Assessed,,,,,,,High,T3; T4; T5,Preventive / Detective,Intent alignment is bound to trusted context or policy references where feasible.,
AAEF-AUZ-07,Action Authorization,Required,Evaluate material runtime state before high-impact execution.,Not Assessed,Not Assessed,,,,,,,High,T5; T9,Preventive / Detective,Trusted state sources are defined and checked at execution time.,
AAEF-AUZ-08,Action Authorization,Required,"Deny, defer, or escalate high-impact actions under material ambiguity.",Not Assessed,Not Assessed,,,,,,,High,T2; T3; T4; T5; T8,Preventive / Detective,Model self-assessment is not the sole basis for clearing ambiguity.,
AAEF-AUZ-09,Action Authorization,Required,"Define safe handling for denial, deferral, escalation, and reauthorization flows.",Not Assessed,Not Assessed,,,,,,,High,T3; T5; T8,Preventive / Evidentiary,"Reauthorization is scoped, attributable, and linked to prior denial.",
AAEF-TOOL-01,Tool Invocation Control,Required,Limit tool permissions to the minimum required authority.,Not Assessed,Not Assessed,,,,,,,High,T5,Preventive,Tool permissions are reviewed against business need.,
AAEF-TOOL-02,Tool Invocation Control,Required,Prevent model output alone from invoking high-impact tools.,Not Assessed,Not Assessed,,,,,,,High,T4; T5,Preventive,Tool dispatch is governed by explicit policy enforcement.,
AAEF-TOOL-03,Tool Invocation Control,Required,Classify high-risk tools and apply stronger controls.,Not Assessed,Not Assessed,,,,,,,High,T5; T8,Governance / Preventive,Tool registry is maintained and reviewed.,
AAEF-TOOL-04,Tool Invocation Control,Required,Apply policy checks to tool requests derived from untrusted content.,Not Assessed,Not Assessed,,,,,,,High,T4; T5; T6,Preventive / Detective,Requests derived from untrusted content pass independent policy checks.,
AAEF-MEM-01,Memory and Retrieval,Required,Control writes to persistent memory.,Not Assessed,Not Assessed,,,,,,,Medium,T6,Preventive,Persistent memory writes are mediated and logged.,
AAEF-MEM-02,Memory and Retrieval,Recommended,Label retrieval sources with trust or provenance metadata.,Not Assessed,Not Assessed,,,,,,,Medium,T6; T8,Detective / Evidentiary,Source registry and provenance metadata are maintained.,
AAEF-MEM-03,Memory and Retrieval,Required,Prevent external content from becoming trusted instruction by default.,Not Assessed,Not Assessed,,,,,,,High,T4; T6,Preventive,Prompt handling and tool dispatch enforce source trust boundaries.,
AAEF-MEM-04,Memory and Retrieval,Recommended,Preserve provenance for retrieved or remembered content influencing actions.,Not Assessed,Not Assessed,,,,,,,Medium,T4; T6; T8,Evidentiary / Detective,Retrieval and memory systems expose source references to evidence events.,
AAEF-EVD-01,Evidence and Auditability,Required,Generate evidence sufficient to reconstruct high-impact actions.,Not Assessed,Not Assessed,,,,,,,High,T8,Evidentiary,Evidence requirements are implemented consistently.,
AAEF-EVD-02,Evidence and Auditability,Required,Standardize key evidence fields for high-impact actions.,Not Assessed,Not Assessed,,,,,,,High,T8,Evidentiary,Evidence field sources and trust levels are documented.,
AAEF-EVD-03,Evidence and Auditability,Required,Link approval evidence to action evidence.,Not Assessed,Not Assessed,,,,,,,High,T8; T9,Evidentiary,Approval records are bound to specific action requests.,
AAEF-EVD-04,Evidence and Auditability,Recommended,Protect critical evidence against undetected alteration.,Not Assessed,Not Assessed,,,,,,,High,T8,Evidentiary,Integrity mechanism and retention policy are defined.,
AAEF-EVD-05,Evidence and Auditability,Recommended,"Record non-execution evidence for denied, deferred, escalated, or frozen high-impact actions.",Not Assessed,Not Assessed,,,,,,,Medium,T8; T5,Evidentiary,High-impact non-execution is reviewable.,
AAEF-EVD-06,Evidence and Auditability,Recommended,Record reauthorization and additional scope request evidence.,Not Assessed,Not Assessed,,,,,,,Medium,T3; T5; T8,Evidentiary / Detective,"Requests are scoped, linked to denial, and reviewed.",
AAEF-HUM-01,Human Oversight,Required,Present action context for informed human approval.,Not Assessed,Not Assessed,,,,,,,High,T4; T5; T8,Preventive / Governance,Approval UI is clear and complete.,
AAEF-HUM-02,Human Oversight,Recommended,Reduce blind approval and approval fatigue.,Not Assessed,Not Assessed,,,,,,,Medium,T8; T9,Governance / Detective,Approval patterns are monitored and tuned.,
AAEF-HUM-03,Human Oversight,Required,Record append-only human override evidence for high-impact actions.,Not Assessed,Not Assessed,,,,,,,High,T8; T9,Evidentiary / Responsive,"Override actor, reason, scope, and linked action are recorded.",
AAEF-HUM-04,Human Oversight,Required,"Constrain break-glass authority with scope, expiration, attribution, and post-review.",Not Assessed,Not Assessed,,,,,,,High,T3; T8; T9,Preventive / Responsive,"Break-glass grants are time-bound, attributable, and post-reviewed.",
AAEF-RES-01,Response and Revocation,Required,"Support revocation of agent authority, tool access, credentials, and delegations.",Not Assessed,Not Assessed,,,,,,,High,T9,Responsive,Revocation paths are tested and documented.,
AAEF-RES-02,Response and Revocation,Required,Isolate compromised or suspicious agent instances or workflows.,Not Assessed,Not Assessed,,,,,,,High,T6; T7; T9,Responsive,Isolation procedures are tested and linked to evidence.,
AAEF-RES-03,Response and Revocation,Required,Reconstruct high-impact action sequence during incident review.,Not Assessed,Not Assessed,,,,,,,High,T8; T9,Responsive / Evidentiary,Correlation and trace references are preserved.,
AAEF-RES-04,Response and Revocation,Required,Define and test conditional authority freeze behavior.,Not Assessed,Not Assessed,,,,,,,High,T5; T9,Responsive / Preventive,"Freeze behavior, in-flight handling, and propagation limits are documented.",
